Lot Number,Current Bid,Name,Brand,Model,UPC,Condition,Functionality,Damage?,Missing Items?,Damage Description,Missing Item Description,Notes,Grand Average Price,Average Shipping Price,Recommended Highest Bid Amount,Current Profit Margin,Flagged
1,$0.00,,,,,,,No,No,,,,,,,,No
2,$0.00,,,,,,,No,No,,,,,,,,No
3,$8.00,12 Inch Full Size Hybrid Mattresses in a Box Medium Firm Memory Foam and Individual Pocket Springs Fiberglass Free Bed Mattres Breathable CertiPUR-US,,c1bf0171-7857-4018-af26-994bb41d04d5,,New,Yes,No,No,,,,,,,,No
4,$152.50,"Whirlpool4.5 cu. Ft. Front Load Washer with Steam, Quick Wash Cycle and Vibration Control Technology",,,Washing machine,Open Box - Not Tested,Yes,No,No,,,Open box not tested Sold as is The side have some dents view images for more details,,,,,No
5,$210.00,Whirlpool Top Load Washer with Removable Agitator 4.7 Cu. Ft,,,Washing machine,New,Yes,No,No,,,Open box not tested Sold as is,,,,,No
6,$202.50,"KoolMore 71 in. Commercial Pizza Prep Table with Built-In Refrigerator, Cutting Board, Food Protection Lid, Cold Storage, Rolling Caster Wheels in Stainless Steel, ETL Listed, (KM-RPPS-2DSS)",KoolMore,KM-RPPS-2DSS,,New,Yes,No,No,,,,,,,,No
7,$26.00,"Kingslim D4PRO Dash Cam Front and Rear - 4K + 2K Dual Car Dashcam with WiFi GPS Dash Camera, Optional Inside Recording, Voice Control, Type C, Support 256GB Max",,D4PRO,,New,Yes,No,No,,,,,,,,No
8,$46.00,"Apple Watch SE (2nd Gen) GPS + Cellular 44mm Smartwatch with Aluminum Case with Midnight Sport Band. Fitness & Sleep Tracker, Crash Detection, Water Resistant with AppleCare+ (2 Years)",,,195949646799,New(other),Yes,No,No,,,,,,,,No
9,$40.00,"Shark SpeedStyle Pro Professional Performance High-Velocity Hair Dryer System, HD731",Shark,,622356661515,New,Yes,No,No,,,,,,,,No
10,$7.00,"Paw Patrol 12V Kids Electric Ride-On Car, 2-Seater with Music, Sounds, Durable Wheels, Dual Seat Belts, Forward & Reverse Drive",,A12VJP371,,New(other),Yes,No,No,,,Open box,,,,,No
11,$20.00,"Money Counter Machine, Coin Counter, Sorter, and Wrapper 9005 Customized Mix Value Coin Money Counting Machine Multi-National Type Coin Counter for Banknotes Detecting(Black)",,1005003716308078,,,Yes,No,No,,,,,,,,No
12,$9.00,"Electric Drywall Sander with Vacuum Dust Collection, Variable Speed, LED Light, Foldable Handle, Sanding Discs & Grids",MYTOL,H21K3O,,Used,Yes,No,No,,,,,,,,No
13,$16.00,"Yale Security Assure Lock 2 Deadbolt, Black Suede Smart Entry Door Lock with Wi-Fi Connected Keypad for Code Entry Door Lock and Remote Access with Back-Up Key, YRD410-WF1-BSP",Yale Security,Yale Assure Lock 2 with Wi-Fi,,New,Yes,No,No,,,,,,,,No
14,$107.50,YETI Hopper M Series Portable Soft Coolers with MagShield Access,YETI,,,New,Yes,No,No,,,,,,,,No
15,$16.00,"Apple Watch SE (2nd Gen) GPS 40mm Smartwatch with Midnight Aluminum Case with Midnight Sport Band M/L. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",,MXE93LL/A,195949641756,New,Yes,No,No,,,,,,,,No
16,$85.00,"Bowers & Wilkins Px7 S2e Over-Ear Headphones - Enhanced Noise Cancellation & Transparency Mode, Crystal-Clear Calls, Bluetooth, 30-Hour Playback, Forest Green",,FP44555,714346342617,New(other),Yes,No,No,,,,,,,,No
17,$50.00,"Apple Watch Series 10 GPS 46mm case Smartwatch with Rose Gold Aluminium Case with Light Blush Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",,MWWT3LW/A,195949560996,New,Yes,No,No,,,Brand new sealed,,,,,No
18,$67.50,"Apple Watch SE (2nd Gen) GPS 40mm Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",,MXEF3LL/A,,New(other),Yes,No,No,,,,,,,,No
19,$85.00,"Dyson V15 Detect Cordless Vacuum Cleaner, Yellow/Nickel",Dyson,V15,885609030883,New(other),Yes,No,No,,,,,,,,No
20,$36.00,"Apple Watch SE (2nd Gen) GPS 41mm Smartwatch with Midnight Aluminum Case with Midnight Sport Band M/L. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor",,MR9Y3LL/A,194253769392,New(other),Yes,No,No,,,It comes with a 41MM M/L band,,,,,No
21,$11.00,Klipsch ProMedia 2.1 THX Certified Computer Speaker System (Black),,Pro Media 2.1,743878038453,New(other),Yes,No,No,,,,,,,,No
22,$11.00,GIGABYTE B650M K (AM5/ LGA 1718/ AMD/ B650/ Micro-ATX/ 5-Year Warranty/ DDR5/ 2X PCIe 4.0 M.2/ PCIe 4.0/ USB 3.2 Gen2 Type-C/ 2.5GbE LAN/Motherboard),GIGABYTE,B650M K,889523036969,New(other),Unable to Test,No,No,,,,,,,,No
23,$5.00,"Deco Home 1400W Front Load Laundry Tumble Dryer Machine with Stainless Steel Tub, 4 Drying Programs, Automatic Humidity Sensor, LCD Touch Panel, Exhaust Pipe",Deco Home,FBADGPTDRY01WHT,,New,Yes,No,No,,,Item is tested and it works,,,,,No
24,$5.00,"Nathan James Hylie Nailhead Wood Height Kitchen Counter Bar Stool, 29"", Gray/White",Nathan James,21401,,New,Yes,No,No,,,,,,,,No
25,$0.00,"HBCY Creations Large Round Mirror, Silver 36 inch Wall Mirror for Entryway, Bathroom, Living Room and More, Modern Minimalist Mirror for Both Rustic and Boho Design and Decor",HBCY Creations,SCM36-GD-IS1,,New,Yes,No,No,,,,,,,,No
26,$23.00,"Drop in Stainless Steel Kitchen Sink, 16 Gauge Single Bowl Kitchen Sink, Black 3 Hole Workstation Sink, Topmount Bar Sink, Farmhouse Workstation Sink with Multiple Accessories (23.6 x 17.7in)",LIJIJUCN,RXZE066,,New,Yes,No,No,,,,,,,,No
27,$6.00,"BROOKSTONE, 1 UNIT, 11 GALLONS - OUR LARGEST BASKET EVER 24"" Collapsible Laundry Basket, Comfort Non-Slip Grip Handles, Minimalist Space Saving Design, Portable Pop-Up Hamper, BPA FREE",Brookstone,BKH1542,,New,Yes,No,No,,,,,,,,No
28,$9.00,Philips Hue Lily XL Outdoor Smart Spot Light - White & Color Ambiance LED Walkway Lights - Low Voltage Lighting - 1 Pack - Requires Bridge and Power Supply - Control with App and Voice - Weatherproof,Philips Hue,Spot Light,,Excellent,Yes,No,No,,,,,,,,No
30,$12.00,"GIGABYTE B650 AORUS Elite AX AMD B650 ATX Motherboard with DDR5, PCIe 5.0, WiFi 6E, 5-Year Warranty",GIGABYTE,B650 AORUS ELITE AX,889523033623,New(other),Unable to Test,No,No,,,,,,,,No
31,$12.00,Logitech G Pro X Superlight 2 Lightspeed Wireless Gaming Mouse White,Logitech G,,097855177834,Open Box - Tested,Yes,No,No,,,,,,,,No
